secp256r1,0xb6d40e4c62d6f221a50698a009d130e9d3c7a783752ed7a02a6c22fd554b20d8,0x491abf1e4bdf4a718d72520e11ce3ce91cbbb17c47d8b92d87835af9819d7abc
7139b2085f1f431b1c46d96fec7d2a959652155ac021f3c7d962374f38fad770,-77ebd8cb6230dc75c30c6bdd6eb9849103a5d83bb56c75f6b14bc997eb5ec995,32
235174be61251d0a8bac55ef1d864cd373db98db93bca066a9df58c2ade43e3a,-1e044f7ea2fb444c3bbadc507cbf2a7aa10964fe53666674903e974aa64f717c,32
c38267eceed7cc1ed56239ed125878c9b9dbcef166503aed2ec555da6061f31f,-8177e15667f0727e8bd3fc826886261d9c55ad001f56b07214da0a0228f036c3,32
b12a87f9cd966d07cbddea24e746116ae84f3d5cbd3e5180921ce7e7b16312d6,-6b98d2383c1f96ef462e81af0b7ad3a3031be7a9e63a8a07382d7c914b7d1486,32
8469da08c5b6687d4a3a35101bd27bfdb9d79ca6311f534cd09e6b52e03faeb5,-6920189b92e6e403ad21103cbb884277eccb6cfe3e36f587f08b636c1fafc760,32
d95daa440f0efeb55ac63dc9c79f4052ab25d1d155b35f0c77d901e22fd2fb13,-b657fd22cd5546b900f3ff6eb7bd8090a0468cd6f4b0ca815b8526b799559a1c,32
1e8435e0336fcb9a74aeb67abb315213ac55b39531dfcd04b8724e7df4c2367c,-258e748567b36d4a54931010afe631ba854807d466a9cbcd83deae1d9cc3651c,31
ed7cf6e35ac694aea1d696aaf9286702fe11a8c4a2a256fca724de054b179a3b,-e9edb18abae2d467c8b02ec004e415468bd198a33822abd1ffa6ff0826115118,32
3bf4813771e52fea0acf09351c7e77b1289ff41f881ef75559eeb8853a58102,-1f14046a711d61cc5550b9daeb74a9a2ea52072b0ae9d08b57164a5b41b6dfb3,32
5a376f693d57b9512feb273c4687869abc3f8498a7589d8e42c58db7c911c099,-4c6cf81367846b3a8987a383dd8a80d37872c6b5db29263015e89bc72734d935,32
4275c2110047b7ead97cb2e2b634e97f2a046216ef6d848c3bde9c0684d49c36,-118373302d7899e138a3e3c0d9f9918238b6b45666af53a52ff1f56fb50e64bd,32
